Frame	Object Count	Min Distance
5	ball: 1	0
36	ball: 1	22
38	ball: 1	21
39	ball: 1	23
60	ball: 1	32
61	ball: 1	30
62	ball: 1	30
63	ball: 1	26
64	ball: 1	31
65	ball: 1	27
66	ball: 1	21
253	ball: 1	49
254	ball: 1	45
255	ball: 1	43
256	ball: 1	43
257	ball: 1	43
258	ball: 1	43
259	ball: 1	41
260	ball: 1	40
261	ball: 1	40
262	ball: 1	38
263	ball: 1	38
264	ball: 1	38
265	ball: 1	37
266	ball: 1	37
267	ball: 1	37
268	ball: 1	37
269	ball: 1	37
270	ball: 1	38
271	ball: 1	38
272	ball: 1	36
273	ball: 1	36
274	ball: 1	36
275	ball: 1	36
276	ball: 1	37
277	ball: 1	38
278	ball: 1	40
279	ball: 1	40
280	ball: 1	40
281	ball: 1	40
282	ball: 1	40
283	ball: 1	42
284	ball: 1	43
285	ball: 1	43
286	ball: 1	44
287	ball: 1	45
288	ball: 1	46
289	ball: 1	46
290	ball: 1	46
291	ball: 1	48
292	ball: 1	49
